category,company,phone,city
Marketing,Affordable Image Marketing,800-639-1622,Phoenix
Build-out contractor,WDS Commercial Contractor,602-319-5282,Phoenix
Build-out contractor,Concept Commercial Construction,480-632-2381,Gilbert
Build-out contractor,Princeton Construction,602-603-1102,Phoenix
Build-out contractor,D&J Construction Services,602-308-9333,Phoenix
Build-out contractor,Infinity General Contractors,602-960-7311,Phoenix
Build-out contractor,P.J. Hussey Construction,623-934-2424,Phoenix
Build-out contractor,F1 Contracting,602-800-2107,Phoenix
Fire protection,Service 1st Fire Protection,623-582-3369,Phoenix
Fire protection,Western States Fire Protection,602-272-2200,Phoenix
Fire protection,Cintas Fire Protection Phoenix,480-447-0053,Phoenix
Fire protection,The Hiller Companies Phoenix,888-222-0532,Phoenix
Fire protection,Summit Fire Protection Tempe,480-966-9178,Tempe
Fire protection,Reliable Fire Protection,602-642-5051,Phoenix
Fire protection,Phoenix Fire Protection LLC,602-668-8832,Phoenix
Fire protection,AZ Quality Fire & Safety,602-492-2736,Phoenix
Kitchen design,Culinary Design Concepts,602-777-6255,Phoenix
Kitchen design,Chef Kitchen Designs,978-561-9703,Phoenix
Kitchen design,Studio Pring,602-616-0495,Phoenix
Consulting,AZ Restaurant Consulting,602-699-5131,Scottsdale
Commissary kitchen,BLT Kitchens,602-887-9544,Phoenix
Commissary kitchen,Phoenix Commercial Kitchen,602-759-7995,Phoenix
Commissary kitchen,Our Community Kitchen,480-743-4640,Mesa
Restaurant broker,The Restaurant Brokers,480-491-0123,Tempe
Restaurant broker,Arizona Restaurant Sales,480-809-3200,Scottsdale
Restaurant broker,Arizona Restaurant & Bar Brokers,602-635-3535,Scottsdale
Commercial real estate,Terrafirma Commercial Real Estate,480-664-6462,Scottsdale
Commercial real estate,LevRose Commercial Real Estate,480-947-0600,Scottsdale
Commercial real estate,Keyser Commercial Real Estate,602-953-9737,Scottsdale
Commercial real estate,Jim Lieberthal SIOR,480-529-6400,Phoenix
Liquor license consultant,Arizona Liquor Industry Consultants,480-730-2675,Mesa
Liquor license consultant,AE Liquor License Service,623-302-2234,Avondale
CPA,Larry B. Betts CPA,602-216-0076,Phoenix
CPA,Cavazos Accounting and Consulting,602-399-7775,Phoenix
CPA,Numbers Matter Tax & Accounting,602-635-9825,Phoenix
CPA,Duran Business Group,480-248-6755,Phoenix
CPA,METZ CPA,602-944-6353,Phoenix
CPA,YBCo CPA,623-243-1272,Phoenix
CPA,Vista Accounting,602-505-6941,Phoenix
CPA,Phoenix Accounting Services,602-680-7612,Phoenix
Coffee wholesale,Riviera Wholesale Coffee,480-802-8077,Chandler
Coffee wholesale,Espressions Coffee Roastery,602-424-3099,Phoenix
Coffee wholesale,WeBe Coffee Roasters,602-888-4168,Phoenix
Coffee wholesale,Alchemy Roast,734-904-7584,Mesa
Coffee wholesale,Froth Coffee Roasters,602-829-0376,Phoenix
Coffee wholesale,Coffee Support,,Phoenix
Produce,Willie Itule Produce,602-252-7258,Phoenix
Produce,Pantano Produce,602-254-5437,Phoenix
Produce,Arizona Marketing Produce Distributors,602-809-6776,Phoenix
Produce,BC Produce,602-675-2932,Phoenix
Produce,Charlie's Produce Phoenix,602-268-6628,Phoenix
Produce,Commander Produce,602-296-7577,Phoenix
Produce,Scottsdale Specialty Produce,480-704-4481,Phoenix
Produce,Grand Avenue Produce,602-254-8643,Peoria
Meat & seafood,Amigos Meat Distributors,602-273-3172,Phoenix
Meat & seafood,Bronco Meats,602-233-1000,Phoenix
Meat & seafood,Pacific Seafood Phoenix,602-268-3313,Phoenix
Meat & seafood,Harvest Meat Co,623-936-0020,Phoenix
Meat & seafood,US Foods Stock Yards Meat,602-269-7241,Phoenix
Meat & seafood,Phoenix Meats,602-353-8502,Phoenix
Meat & seafood,VIP Meats & Seafood,602-489-0268,Phoenix
Ice & equipment,Easy Ice Phoenix,602-898-3626,Phoenix
Ice & equipment,Ice Age Refrigeration,602-551-6195,Tempe
Ice & equipment,Jim Kidwell Refrigeration,602-843-8203,Scottsdale
Ice & equipment,Taylor Freezer Sales of Arizona,602-276-1733,Phoenix
Ice & equipment,Mobile Cooler,602-345-1150,Phoenix
